Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,1,1,1,IRM,0.1906457245349884,0.010892199352383614
1,1,1,1,IRM,0.18605244159698486,0.02319549396634102
1,1,1,1,IRM,0.19131746888160706,0.2623787224292755
1,1,1,1,IRM,0.4421221613883972,0.25955930352211
1,1,1,1,IRM,0.3530729413032532,0.21149547398090363
1,1,1,1,IRM,0.17310354113578796,0.02142319642007351
1,1,1,1,IRM,0.03361974284052849,0.1010492816567421
1,1,1,1,IRM,0.11901615560054779,0.15126225352287292
1,1,1,1,IRM,0.12508732080459595,0.06722769141197205
1,1,1,1,IRM,0.21437284350395203,0.14047043025493622
