Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,1,1,1,IRM,0.6529622077941895,0.7550262808799744,0.18396669626235962,0.18485507369041443,0.28827929496765137,0.1499030590057373,0.1602211594581604,0.8328011631965637,0.8568935990333557,0.8160659670829773,0.8904107809066772,0.9426091313362122
1,1,1,1,IRM,0.6782582402229309,0.7229551076889038,0.21102221310138702,0.16063173115253448,0.1422111988067627,0.21068105101585388,0.16009514033794403,0.8001669645309448,0.8890320658683777,0.883906364440918,0.8366625905036926,0.8383527398109436
1,1,1,1,IRM,0.5991154909133911,0.7285600900650024,0.1760537028312683,0.22150404751300812,0.12406521290540695,0.3215005695819855,0.30501019954681396,0.8570176362991333,0.8900288343429565,0.8889119029045105,0.7785834670066833,0.8484180569648743
1,1,1,1,IRM,0.56265789270401,0.6687034368515015,0.3047567307949066,0.24876432120800018,0.20219111442565918,0.17644380033016205,0.3285631835460663,0.8241883516311646,0.8589503169059753,0.7580782771110535,0.8849831223487854,0.7540274262428284
1,1,1,1,IRM,0.5814477205276489,0.6870412826538086,0.2484060525894165,0.24136243760585785,0.26352667808532715,0.2529016435146332,0.18374942243099213,0.8006380200386047,0.8266499042510986,0.8227471709251404,0.8225213289260864,0.8702764511108398
1,1,1,1,IRM,0.6761778593063354,0.7613567113876343,0.11512628942728043,0.2620803117752075,0.156124547123909,0.10319271683692932,0.26721543073654175,0.9153280854225159,0.7847171425819397,0.8751148581504822,0.9399060010910034,0.8390040993690491
1,1,1,1,IRM,0.6537599563598633,0.734933078289032,0.351688027381897,0.3106856942176819,0.17083007097244263,0.11942894011735916,0.04584640637040138,0.8117519021034241,0.7737395763397217,0.8294768929481506,0.8900243639945984,0.9679235816001892
1,1,1,1,IRM,0.5704687833786011,0.7257699370384216,0.20128583908081055,0.27543511986732483,0.21659325063228607,0.1995493620634079,0.34048640727996826,0.8665469884872437,0.8603112101554871,0.842450737953186,0.8741234540939331,0.8148593306541443
1,1,1,1,IRM,0.5867516398429871,0.6940006613731384,0.10099586099386215,0.22346316277980804,0.3492673933506012,0.241691455245018,0.2760830819606781,0.8364222645759583,0.8732297420501709,0.8132083415985107,0.8333810567855835,0.807489275932312
1,1,1,1,IRM,0.6559934616088867,0.7682161927223206,0.12679123878479004,0.21806742250919342,0.20756623148918152,0.1365736424922943,0.27020636200904846,0.8846931457519531,0.8686893582344055,0.8897396922111511,0.9079342484474182,0.8293349146842957
