Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,0,1,1,ERM,0.8223460912704468,0.8252787590026855
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.27314135432243347,0.34805530309677124
1,0,1,1,ERM,0.818571925163269,0.820944607257843
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.24467244744300842,0.32758408784866333
1,0,1,1,ERM,0.800939679145813,0.8128765225410461
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.24176888167858124,0.3355945944786072
1,0,1,1,ERM,0.8151875734329224,0.8228246569633484
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.2821924686431885,0.354391485452652
1,0,1,1,ERM,0.8268030285835266,0.8260887861251831
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.2851331830024719,0.3546791970729828
1,0,1,1,ERM,0.8236187100410461,0.8175715208053589
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.2824688255786896,0.3549494743347168
1,0,1,1,ERM,0.8280437588691711,0.8229314684867859
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.2553538382053375,0.3046601712703705
1,0,1,1,ERM,0.8004191517829895,0.8116354942321777
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.2732826769351959,0.3537995219230652
1,0,1,1,ERM,0.8387444615364075,0.8319371938705444
1,0,1,1,ICP,1.0,0.0
1,0,1,1,IRM,0.22037729620933533,0.31564217805862427
1,0,1,1,ERM,0.8266595602035522,0.827387809753418
1,0,1,1,ICP,0.8266595602035522,0.827387809753418
1,0,1,1,IRM,0.28039538860321045,0.3475850224494934
