iteration,reg,error,penalty
0,0,167.55984497070312,1021.45654296875
100,0,45.1168212890625,57.707908630371094
200,0,30.338773727416992,12.145003318786621
300,0,25.44925880432129,7.606970310211182
400,0,21.98210906982422,5.049771785736084
500,0,19.436119079589844,3.55122709274292
600,0,17.539718627929688,2.6358296871185303
700,0,16.10051918029785,2.049788236618042
800,0,14.988241195678711,1.6566574573516846
900,0,14.114690780639648,1.3808584213256836
1000,0,13.419288635253906,1.1790189743041992
1100,0,12.859659194946289,1.0253701210021973
1200,0,12.405542373657227,0.9041045904159546
1300,0,12.034917831420898,0.8052492141723633
1400,0,11.731453895568848,0.7223531007766724
1500,0,11.482844352722168,0.6511619091033936
1600,0,11.279646873474121,0.5888190269470215
1700,0,11.11448860168457,0.5333801507949829
1800,0,10.981529235839844,0.4835078716278076
1900,0,10.876035690307617,0.43827024102211
2000,0,10.794118881225586,0.39701366424560547
2100,0,10.732500076293945,0.3592717945575714
2200,0,10.688346862792969,0.3247049152851105
2300,0,10.659156799316406,0.2930581271648407
2400,0,10.642677307128906,0.26412928104400635
2500,0,10.636826515197754,0.23774820566177368
2600,0,10.639644622802734,0.21376125514507294
2700,0,10.649300575256348,0.1920222043991089
2800,0,10.66403579711914,0.17238381505012512
2900,0,10.682202339172363,0.15469706058502197
3000,0,10.702250480651855,0.13880863785743713
3100,0,10.722742080688477,0.1245633065700531
3200,0,10.742426872253418,0.11180625855922699
3300,0,10.760189056396484,0.1003853976726532
3400,0,10.775108337402344,0.09015598893165588
3500,0,10.786463737487793,0.0809827446937561
3600,0,10.793752670288086,0.07274265587329865
3700,0,10.796649932861328,0.06532534956932068
3800,0,10.795040130615234,0.058635126799345016
3900,0,10.788942337036133,0.05258876830339432
4000,0,10.778562545776367,0.047115787863731384
4100,0,10.764184951782227,0.04215598478913307
4200,0,10.74618911743164,0.03765864670276642
4300,0,10.725019454956055,0.033580102026462555
4400,0,10.701139450073242,0.02988291159272194
4500,0,10.675031661987305,0.026534292846918106
4600,0,10.647161483764648,0.023504896089434624
4700,0,10.617971420288086,0.020768331363797188
4800,0,10.587882995605469,0.018300574272871017
4900,0,10.557256698608398,0.016079425811767578
5000,0,10.526453018188477,0.014084409922361374
5100,0,10.495742797851562,0.01229635626077652
5200,0,10.465410232543945,0.010697608813643456
5300,0,10.435630798339844,0.009271562099456787
5400,0,10.406625747680664,0.008002994582057
5500,0,10.378551483154297,0.006877772510051727
5600,0,10.351242065429688,0.005886102095246315
5700,0,10.325838088989258,0.005025804042816162
5800,0,10.30117130279541,0.004286987707018852
5900,0,10.278985977172852,0.0036337831988930702
6000,0,10.257955551147461,0.003081663977354765
6100,0,10.238262176513672,0.0026054405607283115
6200,0,10.220163345336914,0.0022023781202733517
6300,0,10.203470230102539,0.0018543920014053583
6400,0,10.188228607177734,0.0015635975869372487
6500,0,10.174226760864258,0.001314191846176982
6600,0,10.160845756530762,0.0011210867669433355
6700,0,10.149726867675781,0.0009186237584799528
6800,0,10.13913345336914,0.0007655465742573142
6900,0,10.129605293273926,0.0006365782464854419
7000,0,10.120874404907227,0.0005279430188238621
7100,0,10.113231658935547,0.00043578085023909807
7200,0,10.106555938720703,0.0003681899979710579
7300,0,10.100048065185547,0.0002943035797215998
7400,0,10.094789505004883,0.00025373039534315467
7500,0,10.089478492736816,0.00019525314564816654
7600,0,10.084698677062988,0.00017133544315584004
7700,0,10.08108901977539,0.00012754814815707505
7800,0,10.079130172729492,0.0004820578615181148
7900,0,10.07441520690918,8.137593977153301e-05
8000,0,10.073521614074707,0.0007141971145756543
8100,0,10.069128036499023,5.068497557658702e-05
8200,0,10.068172454833984,0.000355688069248572
8300,0,10.064949035644531,3.073325569857843e-05
