iteration,reg,error,penalty
0,0,1825.6246337890625,46205.546875
50,0,1013.38671875,15465.1220703125
100,0,709.7421264648438,6568.53466796875
150,0,554.6931762695312,3004.872314453125
200,0,454.3501281738281,1544.4720458984375
250,0,385.937744140625,909.1224365234375
300,0,338.95147705078125,603.77294921875
350,0,305.53753662109375,437.85479736328125
400,0,280.6601867675781,335.4790954589844
450,0,261.2548522949219,265.5382995605469
500,0,245.4742431640625,214.54112243652344
550,0,232.20590209960938,175.91510009765625
600,0,220.772216796875,145.957763671875
650,0,210.74862670898438,122.32630157470703
700,0,201.85609436035156,103.43205261230469
750,0,193.90011596679688,88.15357971191406
800,0,186.73770141601562,75.67845153808594
850,0,180.2582244873047,65.40543365478516
900,0,174.37335205078125,56.88228988647461
950,0,169.01097106933594,49.763938903808594
1000,0,164.11094665527344,43.78368377685547
1050,0,159.62254333496094,38.73287582397461
1100,0,155.50265502929688,34.44683837890625
1150,0,151.7140655517578,30.794261932373047
1200,0,148.22454833984375,27.669464111328125
1250,0,145.00582885742188,24.98689079284668
1300,0,142.03330993652344,22.676666259765625
1350,0,139.28524780273438,20.681455612182617
1400,0,136.74232482910156,18.953792572021484
1450,0,134.38742065429688,17.454256057739258
1500,0,132.20533752441406,16.149934768676758
1550,0,130.1822967529297,15.013134002685547
1600,0,128.30612182617188,14.0205717086792
1650,0,126.56591796875,13.152497291564941
1700,0,124.95164489746094,12.392129898071289
1750,0,123.45448303222656,11.725130081176758
1800,0,122.06629180908203,11.139252662658691
1850,0,120.77969360351562,10.623955726623535
1900,0,119.58805084228516,10.170165061950684
1950,0,118.48532104492188,9.770026206970215
2000,0,117.46598815917969,9.416760444641113
2050,0,116.52497863769531,9.104455947875977
2100,0,115.6577377319336,8.827991485595703
2150,0,114.86003875732422,8.582887649536133
2200,0,114.12796020507812,8.365208625793457
2250,0,113.45802307128906,8.17153549194336
2300,0,112.84690856933594,7.9988555908203125
2350,0,112.29149627685547,7.84451150894165
2400,0,111.78904724121094,7.706174373626709
2450,0,111.3369140625,7.581798076629639
2500,0,110.93269348144531,7.469563961029053
2550,0,110.57414245605469,7.367877006530762
2600,0,110.25912475585938,7.275324821472168
2650,0,109.98568725585938,7.190665245056152
2700,0,109.75187683105469,7.11278772354126
2750,0,109.55606079101562,7.040721416473389
2800,0,109.39652252197266,6.973618507385254
2850,0,109.27177429199219,6.910712242126465
2900,0,109.18014526367188,6.851338863372803
2950,0,109.12032318115234,6.79491662979126
3000,0,109.09089660644531,6.740921497344971
3050,0,109.09054565429688,6.6889166831970215
3100,0,109.11793518066406,6.6385064125061035
3150,0,109.17189025878906,6.58935022354126
3200,0,109.25108337402344,6.54115104675293
3250,0,109.3543701171875,6.493662357330322
3300,0,109.48059844970703,6.446664810180664
3350,0,109.62861633300781,6.39997673034668
3400,0,109.7972183227539,6.353443622589111
3450,0,109.98524475097656,6.3069353103637695
3500,0,110.19159698486328,6.26034688949585
3550,0,110.4150161743164,6.213589191436768
3600,0,110.6546630859375,6.166600704193115
3650,0,110.90921020507812,6.11932373046875
3700,0,111.17742919921875,6.07171106338501
3750,0,111.45838928222656,6.023744583129883
3800,0,111.75090789794922,5.975404262542725
3850,0,112.05390930175781,5.926675319671631
3900,0,112.36607360839844,5.877543926239014
3950,0,112.68661499023438,5.828025817871094
4000,0,113.01422119140625,5.778112888336182
4050,0,113.3480453491211,5.727825164794922
4100,0,113.68675231933594,5.677164554595947
4150,0,114.02944946289062,5.626152038574219
4200,0,114.37508392333984,5.57480001449585
4250,0,114.72267150878906,5.523119926452637
4300,0,115.07134246826172,5.471134185791016
4350,0,115.42008209228516,5.418859481811523
4400,0,115.7679672241211,5.366312026977539
4450,0,116.11425018310547,5.313504695892334
4500,0,116.45794677734375,5.260459899902344
4550,0,116.79840850830078,5.2071943283081055
4600,0,117.1350326538086,5.153724670410156
4650,0,117.4669189453125,5.100065231323242
4700,0,117.79354095458984,5.046233177185059
4750,0,118.11444854736328,4.992246627807617
4800,0,118.42888641357422,4.93812370300293
4850,0,118.73657989501953,4.883876323699951
4900,0,119.03699493408203,4.829520225524902
4950,0,119.32981872558594,4.7750773429870605
5000,0,119.61468505859375,4.7205586433410645
5050,0,119.89117431640625,4.665982723236084
5100,0,120.15934753417969,4.611367702484131
5150,0,120.41889953613281,4.556727409362793
5200,0,120.66968536376953,4.502082347869873
5250,0,120.91160583496094,4.447448253631592
5300,0,121.14462280273438,4.392845153808594
5350,0,121.36869049072266,4.338290691375732
5400,0,121.58391571044922,4.283804416656494
5450,0,121.79031372070312,4.229406356811523
5500,0,121.98787689208984,4.175110816955566
5550,0,122.17684936523438,4.120941162109375
5600,0,122.35737609863281,4.066921234130859
5650,0,122.52960968017578,4.013065814971924
5700,0,122.69375610351562,3.9594004154205322
5750,0,122.85008239746094,3.9059364795684814
5800,0,122.99874877929688,3.852708101272583
5850,0,123.14016723632812,3.7997255325317383
5900,0,123.27461242675781,3.747014045715332
5950,0,123.4023666381836,3.694589853286743
6000,0,123.52375793457031,3.64247989654541
6050,0,123.63919067382812,3.5906975269317627
6100,0,123.74893188476562,3.539262056350708
6150,0,123.85343170166016,3.488196611404419
6200,0,123.95304870605469,3.437518358230591
6250,0,124.04825592041016,3.387241840362549
6300,0,124.13935852050781,3.337388515472412
6350,0,124.22681427001953,3.2879726886749268
6400,0,124.3110580444336,3.2390077114105225
6450,0,124.39239501953125,3.1905107498168945
6500,0,124.47129821777344,3.1424944400787354
6550,0,124.5481948852539,3.094975233078003
6600,0,124.62354278564453,3.0479605197906494
6650,0,124.69763946533203,3.00146484375
6700,0,124.77098083496094,2.955498456954956
6750,0,124.8439712524414,2.9100706577301025
6800,0,124.9169921875,2.865187168121338
6850,0,124.99042510986328,2.8208577632904053
6900,0,125.06462860107422,2.7770862579345703
6950,0,125.14010620117188,2.733882188796997
7000,0,125.21707153320312,2.691249132156372
7050,0,125.2960433959961,2.649188756942749
7100,0,125.37728881835938,2.6077067852020264
7150,0,125.461181640625,2.5668036937713623
7200,0,125.54813385009766,2.526479959487915
7250,0,125.63838195800781,2.4867377281188965
7300,0,125.7322998046875,2.4475760459899902
7350,0,125.83024597167969,2.4089925289154053
7400,0,125.93255615234375,2.370988607406616
7450,0,126.03943634033203,2.3335587978363037
7500,0,126.15129089355469,2.296698570251465
7550,0,126.26842498779297,2.2604079246520996
7600,0,126.39105224609375,2.224679946899414
7650,0,126.51952362060547,2.189509153366089
7700,0,126.65409088134766,2.154890298843384
7750,0,126.79512023925781,2.1208198070526123
7800,0,126.94277954101562,2.0872862339019775
7850,0,127.09748840332031,2.0542831420898438
7900,0,127.25938415527344,2.0218050479888916
7950,0,127.42887878417969,1.9898403882980347
8000,0,127.60610961914062,1.958383560180664
8050,0,127.79145812988281,1.9274218082427979
8100,0,127.98524475097656,1.8969491720199585
8150,0,128.18753051757812,1.8669512271881104
8200,0,128.3988037109375,1.8374205827713013
8250,0,128.61929321289062,1.808347463607788
8300,0,128.84927368164062,1.7797188758850098
8350,0,129.08892822265625,1.7515225410461426
8400,0,129.3386993408203,1.7237499952316284
8450,0,129.59873962402344,1.6963860988616943
8500,0,129.86936950683594,1.669420838356018
8550,0,130.1509246826172,1.6428413391113281
8600,0,130.44363403320312,1.6166352033615112
8650,0,130.7478485107422,1.590791940689087
8700,0,131.0638427734375,1.5652966499328613
8750,0,131.39195251464844,1.540138840675354
8800,0,131.732421875,1.515307068824768
8850,0,132.08560180664062,1.490787386894226
8900,0,132.4517822265625,1.466568946838379
8950,0,132.8312530517578,1.4426403045654297
9000,0,133.224365234375,1.4189882278442383
9050,0,133.63140869140625,1.3956042528152466
9100,0,134.05271911621094,1.3724768161773682
9150,0,134.4887237548828,1.3495948314666748
9200,0,134.9396209716797,1.3269497156143188
9250,0,135.40573120117188,1.3045310974121094
