Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,0,0,0,ERM,0.008739251643419266,0.008798318915069103
1,0,0,0,ICP,8.403634274145588e-05,0.0
1,0,0,0,IRM,0.0016711873468011618,0.001719383173622191
1,0,0,0,ERM,0.009011606685817242,0.009706567041575909
1,0,0,0,ICP,9.074535773834214e-05,0.0
1,0,0,0,IRM,0.0047293794341385365,0.003934156149625778
1,0,0,0,ERM,0.010227113962173462,0.010263602249324322
1,0,0,0,ICP,6.586580275325105e-05,0.0
1,0,0,0,IRM,0.004175937734544277,0.008289397694170475
1,0,0,0,ERM,0.008655985817313194,0.00887194462120533
1,0,0,0,ICP,0.00016808346845209599,0.0
1,0,0,0,IRM,0.0015053704846650362,0.001086219446733594
1,0,0,0,ERM,0.010894713923335075,0.010200721211731434
1,0,0,0,ICP,0.00024127739015966654,0.0
1,0,0,0,IRM,0.002398223616182804,0.0009156091837212443
1,0,0,0,ERM,0.009530344046652317,0.009918954223394394
1,0,0,0,ICP,4.508780693868175e-05,0.0
1,0,0,0,IRM,0.000716093578375876,0.0012728178407996893
1,0,0,0,ERM,0.010503735393285751,0.009663033299148083
1,0,0,0,ICP,3.72962822439149e-05,0.0
1,0,0,0,IRM,0.0023354541044682264,0.002372742397710681
1,0,0,0,ERM,0.008573186583817005,0.009927652776241302
1,0,0,0,ICP,2.5208883016603068e-05,0.0
1,0,0,0,IRM,0.008217587135732174,0.009568117558956146
1,0,0,0,ERM,0.009375670924782753,0.00897483341395855
1,0,0,0,ICP,9.997037705034018e-05,0.0
1,0,0,0,IRM,0.0032928884029388428,0.00273529184050858
1,0,0,0,ERM,0.010818312875926495,0.009346818551421165
1,0,0,0,ICP,0.0001967680436791852,0.0
1,0,0,0,IRM,0.0014798640040680766,0.001861942932009697
