iteration,reg,error,penalty
0,0,301.7545471191406,3608.297607421875
50,0,156.63526916503906,1042.830322265625
100,0,101.52776336669922,364.3664855957031
150,0,76.40807342529297,161.07989501953125
200,0,62.86346435546875,88.42437744140625
250,0,54.28129577636719,56.50779724121094
300,0,48.18828201293945,39.45171356201172
350,0,43.59077835083008,29.045433044433594
400,0,40.00729751586914,22.222383499145508
450,0,37.15239334106445,17.560914993286133
500,0,34.83716583251953,14.282739639282227
550,0,32.93069839477539,11.921942710876465
600,0,31.339862823486328,10.186007499694824
650,0,29.997041702270508,8.885395050048828
700,0,28.852176666259766,7.894115447998047
750,0,27.867584228515625,7.126596450805664
800,0,27.014385223388672,6.523527145385742
850,0,26.270172119140625,6.043087005615234
900,0,25.617252349853516,5.655272960662842
950,0,25.041522979736328,5.33823299407959
1000,0,24.531591415405273,5.07581901550293
1050,0,24.078174591064453,4.855945587158203
1100,0,23.67361831665039,4.6694560050964355
1150,0,23.31156349182129,4.509330749511719
1200,0,22.98670196533203,4.3701324462890625
1250,0,22.69455337524414,4.247613430023193
1300,0,22.431339263916016,4.138428211212158
1350,0,22.19382095336914,4.0399169921875
1400,0,21.979248046875,3.9499566555023193
1450,0,21.785247802734375,3.86683988571167
1500,0,21.609766006469727,3.789184331893921
1550,0,21.45104217529297,3.715878963470459
1600,0,21.307531356811523,3.6460044384002686
1650,0,21.17789077758789,3.5788278579711914
1700,0,21.060943603515625,3.513737201690674
1750,0,20.95566749572754,3.4502410888671875
1800,0,20.861167907714844,3.38793683052063
1850,0,20.776630401611328,3.3264899253845215
1900,0,20.70135498046875,3.265636444091797
1950,0,20.63475227355957,3.2051594257354736
2000,0,20.576242446899414,3.144878625869751
2050,0,20.52535057067871,3.0846548080444336
2100,0,20.481672286987305,3.0243782997131348
2150,0,20.44481086730957,2.9639577865600586
2200,0,20.41442108154297,2.9033315181732178
2250,0,20.390249252319336,2.842449188232422
2300,0,20.372055053710938,2.7812743186950684
2350,0,20.359603881835938,2.7197859287261963
2400,0,20.352750778198242,2.6579744815826416
2450,0,20.351341247558594,2.5958364009857178
2500,0,20.355266571044922,2.533377170562744
2550,0,20.36444854736328,2.470609188079834
2600,0,20.37885093688965,2.4075546264648438
2650,0,20.398468017578125,2.3442413806915283
2700,0,20.42327880859375,2.280693292617798
2750,0,20.453325271606445,2.2169508934020996
2800,0,20.488679885864258,2.1530508995056152
2850,0,20.529447555541992,2.0890445709228516
2900,0,20.575729370117188,2.0249788761138916
2950,0,20.627685546875,1.9609079360961914
3000,0,20.685482025146484,1.8968923091888428
3050,0,20.74932861328125,1.832998514175415
3100,0,20.819435119628906,1.7692927122116089
3150,0,20.896053314208984,1.7058502435684204
3200,0,20.97947120666504,1.6427470445632935
3250,0,21.069971084594727,1.5800704956054688
3300,0,21.16786766052246,1.5179036855697632
3350,0,21.27350425720215,1.45633864402771
3400,0,21.38721466064453,1.395469069480896
3450,0,21.509389877319336,1.3353925943374634
3500,0,21.640392303466797,1.2762094736099243
3550,0,21.780614852905273,1.2180202007293701
3600,0,21.93044090270996,1.1609266996383667
3650,0,22.090253829956055,1.1050275564193726
3700,0,22.26043128967285,1.0504230260849
3750,0,22.441328048706055,0.997207760810852
3800,0,22.633275985717773,0.9454721212387085
3850,0,22.836557388305664,0.8952994346618652
3900,0,23.051427841186523,0.8467664122581482
3950,0,23.278066635131836,0.7999399304389954
4000,0,23.516582489013672,0.7548760771751404
4050,0,23.767009735107422,0.7116203904151917
4100,0,24.02927589416504,0.6702046990394592
4150,0,24.30320167541504,0.6306508183479309
4200,0,24.588483810424805,0.5929652452468872
4250,0,24.88470458984375,0.5571443438529968
4300,0,25.19131088256836,0.5231707096099854
4350,0,25.507646560668945,0.4910181164741516
4400,0,25.832923889160156,0.4606480598449707
4450,0,26.166259765625,0.4320158362388611
4500,0,26.506694793701172,0.4050678312778473
4550,0,26.853193283081055,0.37974444031715393
4600,0,27.204696655273438,0.35598158836364746
4650,0,27.560148239135742,0.33371084928512573
4700,0,27.918474197387695,0.312860906124115
4750,0,28.27863883972168,0.2933602035045624
4800,0,28.639686584472656,0.2751346528530121
4850,0,29.000713348388672,0.25811079144477844
4900,0,29.36084747314453,0.24221603572368622
4950,0,29.7193660736084,0.22737938165664673
5000,0,30.075634002685547,0.2135317623615265
5050,0,30.429018020629883,0.2006065398454666
5100,0,30.778989791870117,0.18853987753391266
5150,0,31.1251220703125,0.17727099359035492
5200,0,31.467042922973633,0.1667426973581314
5250,0,31.804479598999023,0.15690119564533234
5300,0,32.13713455200195,0.1476958692073822
5350,0,32.464805603027344,0.13907979428768158
5400,0,32.787330627441406,0.131009042263031
5450,0,33.10466003417969,0.12344370037317276
