iteration,reg,error,penalty
0,0,1424.8114013671875,27348.39453125
50,0,774.8834228515625,7519.810546875
100,0,522.7991333007812,3055.82373046875
150,0,401.7538146972656,1472.801513671875
200,0,329.2686767578125,779.4153442382812
250,0,281.3668212890625,446.0769958496094
300,0,247.99378967285156,272.2070617675781
350,0,223.80641174316406,174.72903442382812
400,0,205.6796112060547,116.73456573486328
450,0,191.69436645507812,80.57083129882812
500,0,180.62899780273438,57.180198669433594
550,0,171.68170166015625,41.615081787109375
600,0,164.3118896484375,31.022968292236328
650,0,158.1465301513672,23.68408203125
700,0,152.92196655273438,18.522939682006836
750,0,148.44827270507812,14.8473482131958
800,0,144.5855712890625,12.201160430908203
850,0,141.22862243652344,10.278046607971191
900,0,138.29672241210938,8.868928909301758
950,0,135.72659301757812,7.829158306121826
1000,0,133.4674072265625,7.057211875915527
1050,0,131.47802734375,6.4811906814575195
1100,0,129.72430419921875,6.04952335357666
1150,0,128.1774444580078,5.72483491897583
1200,0,126.8129653930664,5.479821681976318
1250,0,125.60980224609375,5.2943854331970215
1300,0,124.54959106445312,5.153587818145752
1350,0,123.61638641357422,5.046286582946777
1400,0,122.79598236083984,4.964128494262695
1450,0,122.0759048461914,4.900805473327637
1500,0,121.44495391845703,4.851576328277588
1550,0,120.8932113647461,4.812840938568115
1600,0,120.41163635253906,4.781882286071777
1650,0,119.992431640625,4.756647109985352
1700,0,119.62815856933594,4.7355804443359375
1750,0,119.31245422363281,4.717509746551514
1800,0,119.03936004638672,4.701568126678467
1850,0,118.80375671386719,4.6871018409729
1900,0,118.6008071899414,4.673619747161865
1950,0,118.4262924194336,4.660762310028076
2000,0,118.27631378173828,4.648277759552002
2050,0,118.14737701416016,4.635956764221191
2100,0,118.036865234375,4.6236796379089355
2150,0,117.9416732788086,4.611337661743164
2200,0,117.85966491699219,4.598865509033203
2250,0,117.78874206542969,4.586210250854492
2300,0,117.72695922851562,4.573337078094482
2350,0,117.67280578613281,4.560218811035156
2400,0,117.62504577636719,4.546845436096191
2450,0,117.58209991455078,4.533191680908203
2500,0,117.54335021972656,4.519258499145508
