Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.16946861147880554,0.11909770965576172,0.2680348753929138,0.5023109316825867,1.128150224685669,0.9258773326873779,0.7951610088348389,0.11840551346540451,0.27207455039024353,-0.21408341825008392,0.5065590143203735,0.45278066396713257
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.5450641512870789,0.16176065802574158,-0.4452502429485321,0.9276972413063049,1.2074546813964844,0.30125269293785095,0.6836784482002258,0.5500923991203308,0.029642483219504356,0.5388087630271912,0.44497209787368774,0.13041433691978455
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.5092397928237915,0.2695116400718689,0.8324496150016785,1.0589019060134888,-0.4390958547592163,0.7530730962753296,0.38138318061828613,0.24927161633968353,0.4632095694541931,0.768046498298645,0.2749519348144531,0.6366826295852661
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.2561372220516205,0.18089382350444794,0.9363468885421753,0.40963590145111084,0.34647175669670105,0.5030742883682251,1.5040539503097534,0.47543972730636597,0.36339330673217773,0.51679927110672,0.4594985842704773,-0.2610575556755066
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.19353070855140686,0.31867238879203796,0.37031808495521545,0.5895618796348572,0.7271569967269897,0.5027257800102234,0.7154481410980225,0.7840248346328735,0.5458998680114746,0.40100857615470886,0.45865598320961,0.5563157796859741
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.6660856008529663,0.19990405440330505,0.6075565814971924,-0.5513021945953369,0.12734352052211761,1.0850732326507568,0.9666690826416016,0.5237997174263,0.6400049328804016,0.1913301795721054,0.4438778758049011,0.2862045466899872
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.38188284635543823,0.445340096950531,0.6802888512611389,0.6767265796661377,-0.08722196519374847,0.4794277250766754,0.5003540515899658,0.5266116857528687,0.5128163695335388,0.7918376922607422,0.7601182460784912,0.6939836144447327
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.43253785371780396,0.3932337164878845,0.04733138531446457,1.4102141857147217,0.4362143278121948,0.2878364324569702,0.48833128809928894,0.906233549118042,0.05426235869526863,0.4743967056274414,0.6712895035743713,0.6828492879867554
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.2287277728319168,0.21605917811393738,0.26283782720565796,0.769591212272644,0.32453063130378723,0.8730205297470093,1.2734224796295166,0.4611275792121887,0.4650311768054962,0.7847274541854858,-0.0499095544219017,-0.18197554349899292
1,1,1,1,SEM,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1,1,1,1,IRM,0.6449369192123413,0.28294533491134644,1.5316462516784668,-0.25023311376571655,0.34707167744636536,0.03890006244182587,0.8299246430397034,-0.21960745751857758,0.9009363055229187,0.48670077323913574,0.2638372778892517,0.49832236766815186
