Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,1,1,1,IRM,0.21186646819114685,0.08037281781435013
1,1,1,1,IRM,0.062302231788635254,0.10275572538375854
1,1,1,1,IRM,0.22693999111652374,0.13592644035816193
1,1,1,1,IRM,0.2355031967163086,0.04760725051164627
1,1,1,1,IRM,0.1647496372461319,0.2769891321659088
1,1,1,1,IRM,0.36299577355384827,0.08049379289150238
1,1,1,1,IRM,0.14093425869941711,0.06548789888620377
1,1,1,1,IRM,0.14533701539039612,0.056840695440769196
1,1,1,1,IRM,0.1685177981853485,0.049844689667224884
1,1,1,1,IRM,0.1311493217945099,0.12955394387245178
