iteration,reg,error,penalty
0,0,1450.05810546875,33599.59375
50,0,729.0781860351562,9104.908203125
100,0,471.0605163574219,2766.3955078125
150,0,361.2192077636719,1196.3341064453125
200,0,298.070068359375,735.5164794921875
250,0,256.3060302734375,516.427490234375
300,0,226.5731964111328,380.485107421875
350,0,204.0860137939453,288.07073974609375
400,0,186.3107452392578,222.8389434814453
450,0,171.8236846923828,175.6872100830078
500,0,159.76205444335938,140.91781616210938
550,0,149.56285095214844,114.80921173095703
600,0,140.83505249023438,94.87506866455078
650,0,133.2933349609375,79.4229736328125
700,0,126.7222900390625,67.28018188476562
750,0,120.95535278320312,57.619537353515625
800,0,115.86148071289062,49.848487854003906
850,0,111.33634948730469,43.53535079956055
900,0,107.29583740234375,38.361114501953125
950,0,103.67147827148438,34.08675765991211
1000,0,100.40714263916016,30.530786514282227
1050,0,97.45624542236328,27.553592681884766
1100,0,94.77995300292969,25.046613693237305
1150,0,92.34554290771484,22.924503326416016
1200,0,90.12539672851562,21.119525909423828
1250,0,88.0959701538086,19.577381134033203
1300,0,86.23704528808594,18.254243850708008
1350,0,84.53134155273438,17.114439010620117
1400,0,82.9637680053711,16.128751754760742
1450,0,81.5213394165039,15.273202896118164
1500,0,80.192626953125,14.527864456176758
1550,0,78.9677505493164,13.876167297363281
1600,0,77.837890625,13.304336547851562
1650,0,76.79537963867188,12.800786018371582
1700,0,75.83340454101562,12.355754852294922
1750,0,74.94587707519531,11.961053848266602
1800,0,74.12738037109375,11.60970687866211
1850,0,73.37319946289062,11.29582405090332
1900,0,72.67890930175781,11.014355659484863
1950,0,72.04071044921875,10.76101303100586
2000,0,71.455078125,10.532112121582031
2050,0,70.91893005371094,10.324501991271973
2100,0,70.4293212890625,10.135454177856445
2150,0,69.98380279541016,9.962611198425293
2200,0,69.57992553710938,9.803934097290039
2250,0,69.21559143066406,9.657671928405762
2300,0,68.88890075683594,9.522266387939453
2350,0,68.59800720214844,9.396368026733398
2400,0,68.3413314819336,9.27880859375
2450,0,68.11737060546875,9.168540954589844
2500,0,67.92475128173828,9.064657211303711
2550,0,67.7622299194336,8.966354370117188
2600,0,67.62875366210938,8.87292766571045
2650,0,67.5231704711914,8.783734321594238
2700,0,67.44451904296875,8.698219299316406
2750,0,67.39183807373047,8.615845680236816
2800,0,67.36434173583984,8.536184310913086
2850,0,67.3612060546875,8.458831787109375
2900,0,67.38182830810547,8.383419036865234
2950,0,67.42538452148438,8.309615135192871
3000,0,67.49127197265625,8.237128257751465
3050,0,67.57884216308594,8.16568660736084
3100,0,67.68759155273438,8.095059394836426
3150,0,67.81694793701172,8.025042533874512
3200,0,67.96635437011719,7.955425262451172
3250,0,68.13539123535156,7.886044502258301
3300,0,68.32359313964844,7.8167572021484375
3350,0,68.53053283691406,7.747437953948975
3400,0,68.75576782226562,7.6779561042785645
3450,0,68.9988784790039,7.608218193054199
3500,0,69.25947570800781,7.538140296936035
3550,0,69.53729248046875,7.467645645141602
3600,0,69.83200073242188,7.396676540374756
3650,0,70.14327239990234,7.325176239013672
3700,0,70.47090148925781,7.253111839294434
3750,0,70.81463623046875,7.180451393127441
3800,0,71.17427062988281,7.10715913772583
3850,0,71.54975891113281,7.033214092254639
3900,0,71.9410171508789,6.958612442016602
3950,0,72.34791564941406,6.883329391479492
4000,0,72.77056884765625,6.807360649108887
4050,0,73.20911407470703,6.730693817138672
4100,0,73.66374969482422,6.653331756591797
4150,0,74.13471221923828,6.575260162353516
4200,0,74.62230682373047,6.496476173400879
4250,0,75.12688446044922,6.416970252990723
4300,0,75.64903259277344,6.336741924285889
4350,0,76.18922424316406,6.255778789520264
4400,0,76.74825286865234,6.174065589904785
4450,0,77.32686614990234,6.091602325439453
4500,0,77.92587280273438,6.00836181640625
4550,0,78.54631805419922,5.92434024810791
4600,0,79.1893081665039,5.839510917663574
4650,0,79.85607147216797,5.753859519958496
