Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,1,1,0,ERM,0.7808380126953125,0.8170366287231445
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.1945429891347885,0.3334577977657318
1,1,1,0,ERM,0.8292315602302551,0.8258062601089478
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.2334940880537033,0.35457009077072144
1,1,1,0,ERM,0.8303526043891907,0.7638603448867798
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.24561700224876404,0.35065171122550964
1,1,1,0,ERM,0.7847166657447815,0.8096996545791626
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.23402690887451172,0.361591100692749
1,1,1,0,ERM,0.771025538444519,0.7877461314201355
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.2178937941789627,0.36101827025413513
1,1,1,0,ERM,0.7013365030288696,0.7173692584037781
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.19354455173015594,0.3397769629955292
1,1,1,0,ERM,0.7889809608459473,0.796732485294342
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.19729061424732208,0.33690518140792847
1,1,1,0,ERM,0.7502461671829224,0.7460284233093262
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.20059843361377716,0.33151596784591675
1,1,1,0,ERM,0.7926132082939148,0.7919620275497437
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.18615764379501343,0.33285513520240784
1,1,1,0,ERM,0.7729641199111938,0.7618892788887024
1,1,1,0,ICP,1.0,0.0
1,1,1,0,IRM,0.21944308280944824,0.32838550209999084
