Coefficients,GraphObservation,Dispersion,Scramble,Method,ErrCausal,ErrNonCausal
1,1,1,1,ERM,0.7925429940223694,0.7929376363754272
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.20790493488311768,0.3364177942276001
1,1,1,1,ERM,0.7976506948471069,0.7856070399284363
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.24040241539478302,0.34640273451805115
1,1,1,1,ERM,0.7428878545761108,0.7199859619140625
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.22083596885204315,0.33356979489326477
1,1,1,1,ERM,0.8434301614761353,0.8120195269584656
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.23904427886009216,0.3467210829257965
1,1,1,1,ERM,0.7169564366340637,0.6839491128921509
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.23754775524139404,0.33066460490226746
1,1,1,1,ERM,0.8328248858451843,0.836480975151062
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.19300717115402222,0.33860093355178833
1,1,1,1,ERM,0.7759917378425598,0.786424994468689
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.2131754606962204,0.3202344477176666
1,1,1,1,ERM,0.8322073221206665,0.8269485235214233
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.22500863671302795,0.3623156249523163
1,1,1,1,ERM,0.7875155210494995,0.7857760190963745
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.22492966055870056,0.3633286952972412
1,1,1,1,ERM,0.8197489976882935,0.7810631990432739
1,1,1,1,ICP,1.0,0.0
1,1,1,1,IRM,0.22946405410766602,0.34248068928718567
